ptid;enid;name
1148;14482;PFSK 440V 6x0,22 B2 130m
1148;14495;PFSK 440V 6x0,5 500m
1148;14494;PFSK 440V 6x0,5 B2 100m
1148;14484;PFSK 440V 8X0,22 500m
1148;14483;PFSK 440V 8x0,22 B2 130m
1148;14496;PFSK 440V 8X0,5 B2 90m
1148;14543;PFSP 1KV 2X1,5/1,5
1148;14544;PFSP 1KV 2X1,5/1,5
1148;14549;PFSP 1KV 2X1,5/1,5
1148;14559;PFSP 1KV 2X10/10
1148;14560;PFSP 1KV 2X16/16
1148;14545;PFSP 1KV 2X2,5/2,5
1148;14546;PFSP 1KV 2X2,5/2,5
1148;14550;PFSP 1KV 2X2,5/2,5
1148;14547;PFSP 1KV 2X4/4
1148;14548;PFSP 1KV 2X6/6
1148;14532;PFSP 1KV 3X1,5/1,5
1148;14533;PFSP 1KV 3X1,5/1,5
1148;14551;PFSP 1KV 3X1,5/1,5
1148;14553;PFSP 1KV 3X10/10
1148;14565;PFSP 1KV 3X120/70
1148;14525;PFSP 1KV 3X150 A/50
1148;14566;PFSP 1KV 3X150/70
1148;14554;PFSP 1KV 3X16/16
1148;14567;PFSP 1KV 3X185/95
1148;14534;PFSP 1KV 3X2,5/2,5
1148;14535;PFSP 1KV 3X2,5/2,5
1148;14552;PFSP 1KV 3X2,5/2,5
1148;14526;PFSP 1KV 3X240 A/70
1148;14568;PFSP 1KV 3X240/120
1148;14522;PFSP 1KV 3X25 A/10
1148;14555;PFSP 1KV 3X25/16
1148;14561;PFSP 1KV 3X35/16
1148;14536;PFSP 1KV 3X4/4
1148;14523;PFSP 1KV 3X50 A/16
1148;14562;PFSP 1KV 3X50/25
1148;14537;PFSP 1KV 3X6/6
1148;14563;PFSP 1KV 3X70/35
1148;14524;PFSP 1KV 3X95 A/35
1148;14564;PFSP 1KV 3X95/50
1148;14538;PFSP 1KV 4X1,5/1,5
1148;14539;PFSP 1KV 4X1,5/1,5
1148;14556;PFSP 1KV 4X10/10
1148;14530;PFSP 1KV 4X150 A/50
1148;14557;PFSP 1KV 4X16/16
1148;14540;PFSP 1KV 4X2,5/2,5
1148;14531;PFSP 1KV 4X240 A/70
1148;14527;PFSP 1KV 4X25 A/10
1148;14558;PFSP 1KV 4X25/16
