ptid;enid;name;fullname
9182;12683;719;Hengebru (719)
9182;12684;72;Hengebru (72)
9182;12685;720;Hengebru (720)
9182;12686;721;Hengebru (721)
9182;12687;722;Hengebru (722)
9182;12688;723;Hengebru (723)
9182;12689;724;Hengebru (724)
9182;12690;729;Hengebru (729)
9182;12691;73;Hengebru (73)
9182;12692;730;Hengebru (730)
9182;12693;731;Hengebru (731)
9182;12694;732;Hengebru (732)
9182;12695;733;Hengebru (733)
9182;12696;734;Hengebru (734)
9182;12697;739;Hengebru (739)
9182;12698;74;Skråstagbru (74)
9182;12699;740;Skråstagbru (740)
9182;12700;741;Skråstagbru (741)
9182;12701;742;Skråstagbru (742)
9182;12702;743;Skråstagbru (743)
9182;12703;744;Skråstagbru (744)
9182;12704;745;Skråstagbru (745)
9182;12705;746;Skråstagbru (746)
9182;12706;747;Skråstagbru (747)
9182;12707;748;Skråstagbru (748)
9182;12708;749;Skråstagbru (749)
9182;12709;75;Skråstagbru (75)
9182;12710;750;Skråstagbru (750)
9182;12711;751;Skråstagbru (751)
9182;12712;752;Skråstagbru (752)
9182;12713;753;Skråstagbru (753)
9182;12714;754;Skråstagbru (754)
9182;12715;755;Skråstagbru (755)
9182;12716;756;Skråstagbru (756)
9182;12717;757;Skråstagbru (757)
9182;12718;758;Skråstagbru (758)
9182;12719;759;Skråstagbru (759)
9182;12720;76;Flytebru (76)
9182;12721;760;Flytebru (760)
9182;12722;761;Flytebru (761)
9182;12723;762;Flytebru (762)
9182;12724;763;Flytebru (763)
9182;12725;764;Flytebru (764)
9182;12726;765;Flytebru (765)
9182;12727;766;Flytebru (766)
9182;12728;767;Flytebru (767)
9182;12729;769;Flytebru (769)
9182;12730;77;Rørbru (77)
9182;12731;770;Rørbru (770)
9182;12732;771;Rørbru (771)
9182;12733;772;Rørbru (772)
9182;12734;773;Rørbru (773)
9182;12735;774;Rørbru (774)
9182;12736;779;Rørbru (779)
9182;12737;79;Andre (79)
9182;12738;790;Andre (790)
9182;12739;8;Kai/bev.bru (8)
9182;12740;80;Kai/bev.bru (80)
9182;12741;800;Kai/bev.bru (800)
9182;12742;81;Ferjekaibru (81)
9182;12743;810;Ferjekaibru (810)
9182;12744;811;Ferjekaibru (811)
9182;12745;812;Ferjekaibru (812)
9182;12746;813;Reservekaibru (813)
9182;12747;819;Ferjekaibru (819)
9182;12748;82;Kai (82)
9182;12749;820;Kai (820)
9182;12750;821;Tilleggskai (821)
9182;12751;822;Tilleggskai (822)
9182;12752;823;Tilleggskai (823)
9182;12753;824;Tilleggskai (824)
9182;12754;825;Sekundærkai (825)
9182;12755;826;Liggekai (826)
9182;12756;827;Liggekai (827)
9182;12757;828;Ro-Ro-rampe (828)
9182;12758;829;Kai (829)
9182;12759;83;Mar. konstr. (83)
9182;12760;830;Mar. konstr. (830)
9182;12761;831;Molo (831)
9182;12762;832;Dykdalber (832)
9182;12763;85;Klaffebru (85)
9182;12764;850;Klaffebru (850)
9182;12765;851;Klaffebru (851)
9182;12766;852;Klaffebru (852)
9182;12767;853;Klaffebru (853)
9182;12768;854;Klaffebru (854)
9182;12769;855;Klaffebru (855)
9182;12770;856;Klaffebru (856)
9182;12771;859;Klaffebru (859)
9182;12772;86;Svingbru (86)
9182;12773;860;Svingbru (860)
9182;12774;861;Svingbru (861)
9182;12775;862;Svingbru (862)
9182;12776;863;Svingbru (863)
9182;12777;864;Svingbru (864)
9182;12778;869;Svingbru (869)
9182;12779;87;Rullebru (87)
9182;12780;870;Rullebru (870)
9182;12781;871;Rullebru (871)
9182;12782;872;Rullebru (872)
9182;12783;873;Rullebru (873)
9182;12784;879;Rullebru (879)
9182;12785;88;Reservebru (88)
9182;12786;880;Reservebru (880)
9182;12787;881;Reservebru (881)
9182;12788;882;Reservebru (882)
9182;12789;883;Reservebru (883)
9182;12790;884;Reservebru (884)
9182;12791;889;Reservebru (889)
9182;12792;89;Andre (89)
9182;12793;890;Andre (890)
9182;12794;9;Andre (9)
9182;12795;90;Andre (90)
9182;12796;900;Andre (900)
9182;12797;91;Støttemur (91)
9182;12798;910;Støttemur (910)
9182;12799;911;Støttemur (911)
9182;12800;912;Støttemur (912)
9182;12801;913;Støttemur (913)
9182;12802;914;Støttemur (914)
9182;12803;915;Støttemur (915)
9182;12804;919;Støttemur (919)
9182;12805;92;Støttemur (92)
9182;12806;920;Støttemur (920)
9182;12807;921;Støttemur (921)
9182;12808;922;Støttemur (922)
9182;12809;923;Støttemur (923)
